,x,y,2G,3G,4G,latitude,longitude
6199,702769.0,6167453.0,0,1,0,42.6068,3.0337
3710,625648.0,6168445.0,0,1,1,42.6119,2.095
4291,647220.0,6168444.0,0,1,0,42.6138,2.3576
6140,699952.0,6168406.0,0,1,1,42.6153,2.9994
5455,668320.0,6168660.0,0,1,0,42.6169,2.6144
4063,641983.0,6169392.0,0,1,0,42.6219,2.2937
12238,1220946.0,6190465.0,0,1,1,42.6253,9.3489
6022,694290.0,6169555.0,0,1,1,42.6257,2.9305
4677,652523.0,6170333.0,0,1,1,42.6311,2.4219
6203,702831.0,6170273.0,0,1,1,42.6321,3.0345
6122,698986.0,6170465.0,0,1,1,42.6339,2.9877
4089,642765.0,6171246.0,0,1,0,42.6386,2.303
5889,688251.0,6171122.0,0,1,1,42.6397,2.8569
12258,1228141.0,6193386.0,0,1,0,42.6462,9.4391
5205,661509.0,6172166.0,0,1,1,42.6481,2.5312
3378,604798.0,6173348.0,0,1,0,42.6535,1.8404
6081,696976.0,6172862.0,0,1,1,42.6554,2.9632
5415,667174.0,6173631.0,0,1,1,42.6616,2.6001
12257,1228023.0,6195347.0,0,1,1,42.6639,9.4396
5879,687779.0,6174033.0,0,1,1,42.6658,2.8511
4245,646446.0,6174891.0,0,1,0,42.6717,2.3475
4915,655691.0,6174850.0,0,1,0,42.6719,2.4601
12253,1227572.0,6196828.0,0,1,1,42.6775,9.4356
6024,694379.0,6175473.0,0,1,1,42.6789,2.9315
5840,685730.0,6175520.0,0,1,1,42.6792,2.8261
5973,691953.0,6175571.0,0,1,1,42.6797,2.9019
5734,680636.0,6175627.0,0,1,0,42.68,2.764
5880,687784.0,6175781.0,0,1,1,42.6815,2.8511
5911,689516.0,6175863.0,0,1,1,42.6823,2.8722
12259,1228282.0,6197482.0,0,1,1,42.6828,9.4449
6200,702769.0,6176087.0,0,1,1,42.6844,3.0337
5934,690655.0,6176315.0,0,1,1,42.6864,2.8861
5974,691975.0,6176347.0,0,1,1,42.6867,2.9022
5819,684730.0,6176400.0,0,1,0,42.6871,2.8139
5925,690365.0,6176963.0,0,1,1,42.6922,2.8826
5888,688182.0,6176989.0,0,1,1,42.6924,2.856
5952,691140.0,6177021.0,0,1,1,42.6927,2.892
12244,1224486.0,6198434.0,0,1,1,42.6941,9.3997
5920,689972.0,6177457.0,0,1,0,42.6967,2.8778
5948,691056.0,6177508.0,0,1,1,42.6971,2.891
5985,692545.0,6177647.0,0,1,1,42.6984,2.9091
5142,660315.0,6178058.0,0,1,0,42.701,2.5162
5619,675229.0,6178001.0,0,1,1,42.7012,2.698
5958,691388.0,6178104.0,0,1,1,42.7025,2.895
12256,1227918.0,6199738.0,0,1,0,42.7033,9.4427
6179,701525.0,6178223.0,0,1,1,42.7036,3.0186
5816,684553.0,6179076.0,0,1,1,42.7111,2.8117
5940,690836.0,6179484.0,0,1,1,42.7149,2.8883
6031,694570.0,6179640.0,0,1,1,42.7163,2.9338
12254,1227765.0,6201360.0,0,1,1,42.718,9.4424
2932,572758.0,6181265.0,0,1,0,42.7197,1.4483
3716,626104.0,6180560.0,0,1,0,42.7208,2.0989
3381,604926.0,6181176.0,0,1,1,42.7239,1.8406
6184,702034.0,6181207.0,0,1,1,42.7304,3.0248
5341,664858.0,6181563.0,0,1,1,42.7328,2.5714
4515,650311.0,6181679.0,0,1,0,42.733,2.394
3736,627697.0,6181914.0,0,1,0,42.7332,2.1181
4087,642741.0,6181798.0,0,1,0,42.7335,2.3016
5954,691180.0,6181889.0,0,1,1,42.7365,2.8924
6012,694002.0,6182066.0,0,1,0,42.7381,2.9268
3791,630870.0,6182626.0,0,1,0,42.7399,2.1567
3925,636395.0,6183779.0,0,1,0,42.7508,2.224
6139,699912.0,6183579.0,0,1,1,42.7518,2.9989
12237,1220516.0,6204874.0,0,1,0,42.7547,9.3578
6054,695646.0,6183934.0,0,1,1,42.7549,2.9469
12261,1229205.0,6205613.0,0,1,1,42.755,9.4642
3401,606579.0,6184705.0,0,1,0,42.7558,1.8601
5465,668606.0,6184138.0,0,1,1,42.7561,2.6169
5723,680064.0,6184164.0,0,1,1,42.7567,2.7567
3658,622350.0,6184885.0,0,1,0,42.7593,2.0525
5035,657613.0,6184970.0,0,1,0,42.763,2.4828
4184,644889.0,6185465.0,0,1,0,42.7666,2.3274
5915,689583.0,6185284.0,0,1,1,42.767,2.8729
4877,655145.0,6185481.0,0,1,0,42.7675,2.4526
5757,681996.0,6185354.0,0,1,1,42.7675,2.7803
3518,615256.0,6185904.0,0,1,0,42.7677,1.9658
3699,624989.0,6185812.0,0,1,0,42.7679,2.0845
6148,700259.0,6185482.0,0,1,1,42.7689,3.0032
3084,580682.0,6187176.0,0,1,0,42.7742,1.5436
5834,685480.0,6186241.0,0,1,1,42.7756,2.8228
5970,691693.0,6186446.0,0,1,1,42.7775,2.8986
5620,675262.0,6186551.0,0,1,1,42.7781,2.698
4415,649098.0,6186730.0,0,1,0,42.7783,2.3787
4683,652533.0,6186734.0,0,1,0,42.7786,2.4206
6063,696142.0,6186637.0,0,1,1,42.7793,2.9529
4066,642050.0,6187013.0,0,1,0,42.7803,2.2926
2986,574880.0,6188364.0,0,1,0,42.7839,1.4725
3539,616322.0,6187873.0,0,1,0,42.7855,1.9785
3845,633199.0,6188145.0,0,1,1,42.7897,2.1844
4902,655481.0,6188019.0,0,1,0,42.7903,2.4565
1626,456174.0,6192491.0,0,1,0,42.7906,0.0225
3721,626563.0,6188527.0,0,1,0,42.7925,2.1034
2583,551394.0,6190234.0,0,1,0,42.7963,1.1854
5419,667441.0,6189299.0,0,1,1,42.8025,2.6024
5946,691020.0,6189318.0,0,1,1,42.8033,2.8903
12265,1230500.0,6211263.0,0,1,1,42.8047,9.4856
5176,661035.0,6189617.0,0,1,1,42.805,2.5242
3571,618303.0,6190053.0,0,1,0,42.8053,2.0023
4036,641053.0,6190567.0,0,1,0,42.8122,2.2801
1802,478733.0,6194240.0,0,1,1,42.8136,0.297
1985,494227.0,6193799.0,0,1,0,42.8142,0.4863
12232,1217662.0,6211680.0,0,1,1,42.8178,9.3297
1831,481652.0,6194708.0,0,1,1,42.8187,0.3325
3706,625365.0,6191847.0,0,1,0,42.8222,2.0883
5738,680924.0,6192216.0,0,1,1,42.8292,2.767
12229,1216224.0,6213229.0,0,1,0,42.8327,9.3137
6214,703393.0,6193084.0,0,1,1,42.8372,3.0415
5433,667739.0,6193336.0,0,1,1,42.8388,2.6058
4219,645670.0,6193949.0,0,1,0,42.843,2.3361
1798,478622.0,6197834.0,0,1,0,42.8458,0.2942
2008,496689.0,6197899.0,0,1,0,42.8518,0.5148
3137,585256.0,6196079.0,0,1,1,42.855,1.5975
5945,690993.0,6195103.0,0,1,0,42.8553,2.8899
12250,1227093.0,6216899.0,0,1,1,42.8577,9.4497
1607,454789.0,6200364.0,0,1,1,42.8608,0.0019
1841,483658.0,6199456.0,0,1,1,42.8619,0.355
4939,656031.0,6196260.0,0,1,0,42.8644,2.4625
2587,551869.0,6198647.0,0,1,0,42.872,1.1888
2379,531302.0,6199330.0,0,1,0,42.8736,0.9372
3774,629842.0,6197510.0,0,1,1,42.8736,2.1422
1625,456047.0,6201768.0,0,1,0,42.8739,0.0167
1645,458414.0,6201784.0,0,1,0,42.8748,0.0456
2840,566749.0,6198924.0,0,1,0,42.8774,1.3706
12233,1217891.0,6218402.0,0,1,0,42.8779,9.3391
4376,648450.0,6198010.0,0,1,0,42.8797,2.3697
3283,598309.0,6198846.0,0,1,0,42.8818,1.7565
1118,409304.0,6204792.0,0,1,0,42.8836,-0.5559
1845,484555.0,6202486.0,0,1,1,42.8894,0.3647
