,x,y,2G,3G,4G,latitude,longitude
24444,1183949.0,6120410.0,1,1,0,42.0232,8.8367
24418,1176879.0,6120485.0,1,1,1,42.0285,8.7518
24406,1175350.0,6121424.0,0,0,0,42.0379,8.7343
24442,1182903.0,6122104.0,1,1,1,42.039,8.8257
24600,1232307.0,6128845.0,1,1,1,42.065,9.4258
24456,1189374.0,6126292.0,1,1,1,42.0722,8.9072
24455,1189237.0,6126466.0,1,1,0,42.0739,8.9057
24482,1201065.0,6128636.0,1,1,0,42.0853,9.0499
24399,1172695.0,6128273.0,1,1,1,42.101,8.7083
24606,1235844.0,6133636.0,1,1,0,42.1053,9.473
24490,1206223.0,6131719.0,1,1,0,42.1093,9.1149
24391,1170025.0,6129758.0,1,0,0,42.116,8.6775
24609,1238779.0,6135183.0,1,1,1,42.117,9.5098
24511,1214068.0,6133396.0,1,1,0,42.1189,9.2108
24446,1185507.0,6132022.0,1,1,0,42.1262,8.8658
24384,1162688.0,6131210.0,1,1,1,42.1338,8.5904
24498,1208630.0,6137047.0,1,1,0,42.1554,9.1488
24385,1163291.0,6134325.0,1,1,1,42.1613,8.6003
24459,1191210.0,6136877.0,1,1,0,42.1658,8.9389
24544,1224433.0,6139745.0,1,1,1,42.1683,9.3417
24426,1179090.0,6137253.0,1,1,1,42.1773,8.7932
24504,1211432.0,6139934.0,1,1,0,42.1793,9.1853
24610,1239734.0,6143222.0,1,1,0,42.1883,9.5293
24555,1226174.0,6145384.0,1,1,0,42.2176,9.3681
24436,1181455.0,6142632.0,1,0,0,42.2239,8.8265
24435,1181423.0,6142817.0,0,1,0,42.2256,8.8263
24503,1211306.0,6146247.0,1,1,1,42.2359,9.1897
24386,1164407.0,6142965.0,1,1,0,42.238,8.6212
24500,1209567.0,6148174.0,1,1,0,42.2544,9.1706
24393,1170384.0,6146872.0,1,1,0,42.2692,8.6967
24595,1230642.0,6153169.0,1,1,0,42.2841,9.4296
24611,1240585.0,6154019.0,1,1,1,42.2844,9.5504
24495,1207647.0,6153022.0,1,1,1,42.2992,9.152
24494,1207444.0,6154088.0,1,1,1,42.3089,9.1506
24563,1227225.0,6157291.0,1,1,0,42.3235,9.3924
24507,1212914.0,6156484.0,1,1,0,42.3265,9.2189
24387,1164674.0,6152874.0,1,1,0,42.3267,8.6329
24496,1207911.0,6156473.0,1,1,0,42.33,9.1584
24605,1235207.0,6159089.0,1,1,1,42.3338,9.4906
24472,1195426.0,6157539.0,0,0,0,42.3481,9.0086
24473,1195496.0,6157545.0,1,1,0,42.3481,9.0095
24554,1226165.0,6160128.0,1,1,0,42.3497,9.3824
12226,665492.0,6140817.0,1,0,0,42.3665,2.5818
24412,1176214.0,6158847.0,1,1,0,42.3727,8.7776
24524,1218958.0,6162129.0,1,1,0,42.3728,9.2973
24501,1210296.0,6161605.0,1,1,1,42.3743,9.1921
24608,1238053.0,6163889.0,1,1,0,42.3746,9.5297
24603,1234028.0,6164140.0,1,1,1,42.3799,9.4813
7774,620779.0,6143478.0,0,1,0,42.3869,2.0395
12377,667792.0,6143663.0,1,1,0,42.3922,2.6095
11817,659855.0,6143802.0,1,1,1,42.3931,2.5132
24451,1187834.0,6163150.0,1,1,0,42.4036,8.922
24395,1171887.0,6162606.0,1,0,0,42.4093,8.7286
24396,1171891.0,6162609.0,0,1,0,42.4093,8.7287
10386,651354.0,6145710.0,1,0,0,42.4097,2.41
24388,1165712.0,6162482.0,1,1,1,42.4122,8.6538
24508,1213306.0,6166183.0,1,1,1,42.4132,9.2329
7589,616569.0,6146920.0,1,1,1,42.4174,1.9879
24547,1224874.0,6167989.0,1,1,0,42.421,9.3745
14450,712951.0,6148358.0,1,1,0,42.435,3.1572
7479,613146.0,6149012.0,1,1,0,42.4358,1.946
14503,714377.0,6148973.0,1,1,1,42.4405,3.1745
24607,1236704.0,6171617.0,1,1,1,42.4449,9.5211
24577,1228333.0,6171272.0,1,1,0,42.4479,9.4195
7744,620058.0,6150797.0,1,0,1,42.4526,2.0296
24476,1196617.0,6169499.0,1,1,0,42.4545,9.0341
12460,668980.0,6150796.0,1,1,1,42.4564,2.6234
7362,608628.0,6151379.0,1,1,1,42.4565,1.8908
13258,689105.0,6151606.0,1,1,0,42.4642,2.8677
13241,688587.0,6151700.0,1,1,1,42.4651,2.8614
14434,712483.0,6151851.0,1,1,1,42.4664,3.1516
14281,709642.0,6152781.0,1,1,1,42.4748,3.1171
7955,626297.0,6153385.0,1,1,1,42.4766,2.105
12614,672736.0,6153052.0,1,1,1,42.4768,2.6689
14372,711270.0,6153417.0,1,1,1,42.4805,3.1369
8842,643506.0,6153750.0,0,1,0,42.4814,2.3139
24527,1219762.0,6174363.0,1,1,0,42.4818,9.3189
12977,682299.0,6153611.0,1,1,0,42.4821,2.785
24552,1225957.0,6175532.0,1,1,0,42.4878,9.395
24484,1202912.0,6173743.0,1,1,1,42.4882,9.1143
13154,686435.0,6154725.0,1,1,1,42.4922,2.8352
24593,1230384.0,6176455.0,1,1,0,42.4929,9.4495
24515,1214970.0,6175513.0,0,1,0,42.4956,9.2619
24510,1213953.0,6175506.0,1,1,0,42.4962,9.2496
8058,629365.0,6155556.0,1,1,0,42.4964,2.142
12737,675863.0,6155592.0,1,1,1,42.4997,2.7068
12829,678292.0,6155578.0,1,1,1,42.4997,2.7363
24561,1227056.0,6177116.0,1,1,1,42.5012,9.4099
24560,1227053.0,6177174.0,0,0,0,42.5018,9.4099
7778,620811.0,6156525.0,1,1,1,42.5042,2.0379
7621,617293.0,6156640.0,1,1,1,42.5048,1.9952
7789,621226.0,6156645.0,1,0,0,42.5053,2.0429
24526,1219415.0,6177046.0,1,1,0,42.5061,9.3173
9630,648378.0,6156707.0,0,1,0,42.5083,2.3728
24438,1181640.0,6174588.0,1,1,1,42.5103,8.8574
7838,622605.0,6157408.0,1,1,1,42.5123,2.0596
24389,1168001.0,6173911.0,1,1,0,42.5131,8.6915
14040,705814.0,6157283.0,1,1,1,42.5153,3.0706
14315,710219.0,6157301.0,1,1,0,42.5154,3.1242
14219,708684.0,6157316.0,0,1,1,42.5156,3.1055
24468,1194161.0,6176217.0,1,1,0,42.5164,9.0106
13117,685428.0,6157940.0,1,1,1,42.5211,2.8229
7196,602570.0,6158824.0,1,0,0,42.5226,1.8159
14145,707400.0,6158346.0,1,1,1,42.5249,3.0899
7820,622169.0,6158906.0,1,1,1,42.5258,2.0541
13538,695673.0,6158751.0,1,1,1,42.5285,2.9474
7694,618981.0,6159959.0,1,0,0,42.5349,2.0152
7695,618981.0,6159959.0,0,1,1,42.5349,2.0152
12435,668553.0,6159753.0,0,1,0,42.5369,2.6177
13857,703035.0,6159855.0,0,1,1,42.5385,3.0369
24404,1174221.0,6177308.0,1,1,1,42.5395,8.7699
13904,703879.0,6159982.0,1,1,0,42.5396,3.0472
8666,641276.0,6160289.0,0,1,0,42.54,2.2861
24497,1208488.0,6180023.0,1,1,0,42.5406,9.1877
