cluster,x,y,2G,3G,4G,latitude,longitude
404,168878.0,6788866.0,1,1,1,47.9843,-4.1291
373,169265.0,6776941.0,1,1,1,47.8777,-4.1096
404,169647.0,6803844.0,1,1,1,48.1191,-4.137
404,169990.0,6821085.0,1,1,1,48.2739,-4.1533
404,170095.0,6789845.0,1,0,0,47.994,-4.114
435,170273.0,6859684.0,1,1,1,48.6199,-4.1969
404,170796.0,6788400.0,1,1,1,47.9816,-4.1029
404,170851.0,6789618.0,1,1,1,47.9926,-4.1037
404,171272.0,6791435.0,1,0,0,48.0092,-4.1002
435,171274.0,6851221.0,1,1,0,48.5449,-4.173
404,171316.0,6791314.0,1,1,1,48.0082,-4.0995
404,171439.0,6788897.0,1,1,1,47.9866,-4.095
404,171443.0,6812658.0,1,1,1,48.1996,-4.1236
405,171761.0,6782006.0,1,1,1,47.9251,-4.0824
404,171959.0,6788969.0,1,1,1,47.9877,-4.0881
435,172623.0,6844930.0,1,0,0,48.4897,-4.147
405,172658.0,6787483.0,1,1,1,47.9749,-4.077
405,172752.0,6789969.0,1,1,1,47.9973,-4.0787
404,172994.0,6818732.0,1,1,1,48.2552,-4.1102
405,173052.0,6788222.0,1,1,1,47.9819,-4.0726
405,173241.0,6794607.0,1,1,1,48.0392,-4.0778
405,173411.0,6780319.0,1,1,1,47.9113,-4.0584
435,173572.0,6863604.0,1,1,1,48.6577,-4.1571
435,173795.0,6846192.0,0,1,0,48.5019,-4.1328
404,174404.0,6819592.0,0,1,0,48.2641,-4.0923
435,174875.0,6855144.0,1,1,1,48.583,-4.1292
405,175048.0,6790725.0,1,1,1,48.0059,-4.049
405,175594.0,6813345.0,1,1,1,48.2091,-4.0688
405,175759.0,6777765.0,1,1,1,47.8903,-4.024
435,175866.0,6857013.0,1,1,1,48.6006,-4.1181
405,176063.0,6788070.0,1,1,1,47.9829,-4.0322
405,176528.0,6783389.0,1,1,1,47.9413,-4.0205
374,176673.0,6774689.0,1,1,1,47.8634,-4.0082
405,177352.0,6790969.0,1,1,1,48.0099,-4.0185
435,177560.0,6864646.0,1,1,1,48.6703,-4.1045
436,177676.0,6847597.0,1,1,1,48.5177,-4.0822
405,177748.0,6800836.0,1,1,1,48.0987,-4.0249
405,178036.0,6806900.0,1,1,1,48.1533,-4.0283
436,178149.0,6837179.0,1,1,1,48.4247,-4.0632
405,178445.0,6788001.0,1,1,1,47.9842,-4.0003
405,178543.0,6786615.0,1,1,1,47.9718,-3.9974
405,178730.0,6779796.0,1,1,1,47.9109,-3.9868
436,178866.0,6844706.0,1,1,1,48.4927,-4.0626
405,179013.0,6799476.0,1,1,1,48.0875,-4.0064
436,179474.0,6862862.0,1,1,1,48.6559,-4.0764
436,179693.0,6852159.0,1,1,1,48.5602,-4.0605
436,180678.0,6854030.0,1,1,1,48.5777,-4.0494
405,181437.0,6828138.0,1,1,0,48.3463,-4.0081
436,181468.0,6845625.0,1,1,1,48.503,-4.0287
405,182300.0,6785213.0,1,1,1,47.9623,-3.9456
405,183167.0,6780531.0,1,1,1,47.921,-3.9285
405,183615.0,6776152.0,1,1,1,47.8821,-3.9174
436,183685.0,6859859.0,1,1,1,48.6323,-4.0159
405,183910.0,6821859.0,1,1,1,48.292,-3.9674
405,184098.0,6814536.0,1,1,1,48.2265,-3.9562
436,184311.0,6866914.0,1,1,1,48.696,-4.0159
405,184630.0,6777570.0,1,1,1,47.8956,-3.9055
436,185130.0,6872453.0,0,1,0,48.7463,-4.0115
405,185181.0,6786951.0,1,1,1,47.9801,-3.9092
374,186314.0,6775373.0,1,1,1,47.8772,-3.8805
405,186537.0,6803924.0,1,1,1,48.1333,-3.911
436,186540.0,6863698.0,1,1,1,48.669,-3.9819
436,186555.0,6868581.0,1,1,1,48.7128,-3.9875
405,187740.0,6787973.0,1,1,1,47.9913,-3.8762
436,187966.0,6869467.0,1,1,1,48.7218,-3.9695
405,188215.0,6783254.0,1,1,1,47.9493,-3.8644
436,188435.0,6847520.0,1,1,1,48.5256,-3.937
405,188649.0,6778123.0,1,1,1,47.9037,-3.8526
374,188967.0,6767639.0,1,1,1,47.8099,-3.8362
374,189925.0,6772806.0,1,1,1,47.857,-3.8294
405,190405.0,6785385.0,1,1,1,47.9702,-3.8376
436,190843.0,6834786.0,1,1,1,48.4133,-3.8894
436,191450.0,6862231.0,1,1,1,48.6597,-3.9137
