,x,y,2G,3G,4G,latitude,longitude
18742,1224455.0,6122123.0,1,1,1,42.0105,9.3249
18622,1176890.0,6120469.0,1,1,1,42.0283,8.7519
18658,1189375.0,6126290.0,1,1,1,42.0722,8.9072
18657,1189237.0,6126463.0,1,1,0,42.0739,8.9057
18681,1201079.0,6128605.0,1,1,1,42.085,9.0501
18811,1239000.0,6132827.0,1,1,1,42.0957,9.5101
18806,1235869.0,6133651.0,1,1,1,42.1054,9.4733
18686,1206212.0,6131714.0,1,1,1,42.1093,9.1147
18592,1169978.0,6129897.0,1,1,1,42.1173,8.677
18703,1214068.0,6133394.0,1,1,0,42.1189,9.2108
18647,1185507.0,6132023.0,1,1,0,42.1262,8.8658
18584,1162701.0,6131226.0,1,1,1,42.1339,8.5906
18585,1162930.0,6134496.0,1,1,1,42.1631,8.5961
18660,1191420.0,6136930.0,1,1,0,42.1662,8.9415
18741,1224433.0,6139743.0,1,1,1,42.1683,9.3417
18628,1179077.0,6137243.0,1,1,1,42.1772,8.793
18813,1239640.0,6143236.0,1,1,1,42.1885,9.5282
18814,1239886.0,6146257.0,1,1,1,42.2154,9.5342
18750,1226277.0,6145195.0,1,1,1,42.2158,9.3692
18588,1166299.0,6140777.0,1,1,1,42.2172,8.6421
18638,1181443.0,6142826.0,1,1,0,42.2257,8.8265
18698,1211443.0,6146245.0,1,1,1,42.2358,9.1914
18586,1164401.0,6142967.0,1,1,1,42.238,8.6211
18705,1214395.0,6146787.0,1,1,1,42.2386,9.2275
18590,1168132.0,6145039.0,1,1,1,42.2542,8.6679
18695,1210078.0,6148353.0,1,1,1,42.2557,9.1769
18603,1174438.0,6145919.0,1,1,1,42.258,8.7448
18593,1170357.0,6146879.0,1,1,1,42.2693,8.6964
18807,1235955.0,6152411.0,1,1,1,42.2734,9.4929
18815,1240578.0,6153996.0,1,1,1,42.2842,9.5503
18648,1185632.0,6149816.0,1,1,1,42.2855,8.8833
18693,1209005.0,6153332.0,1,1,1,42.301,9.1687
18688,1207327.0,6153763.0,1,1,1,42.3061,9.1488
18673,1196357.0,6153137.0,1,1,1,42.3081,9.0158
18687,1206910.0,6154465.0,1,1,1,42.3127,9.1445
18759,1227225.0,6157288.0,1,1,0,42.3235,9.3924
18587,1164641.0,6152874.0,1,1,1,42.3267,8.6325
18690,1207888.0,6156457.0,1,1,1,42.3298,9.1581
18804,1235411.0,6159119.0,1,1,1,42.3339,9.493
18812,1239209.0,6160178.0,1,1,1,42.3405,9.54
18805,1235615.0,6160469.0,1,1,1,42.3458,9.4969
18749,1226172.0,6160132.0,1,1,1,42.3497,9.3825
8713,655472.0,6140577.0,1,1,1,42.3638,2.4603
18802,1233872.0,6162761.0,1,1,1,42.3676,9.4781
18613,1176213.0,6158844.0,1,1,0,42.3727,8.7776
18720,1218958.0,6162127.0,1,1,0,42.3728,9.2973
18696,1210296.0,6161598.0,1,1,1,42.3742,9.1921
18810,1238051.0,6163854.0,1,1,1,42.3743,9.5297
18803,1234024.0,6164135.0,1,1,1,42.3798,9.4813
9455,667831.0,6143644.0,1,1,1,42.392,2.6099
9054,659910.0,6143801.0,1,1,1,42.3931,2.5139
8074,651357.0,6145681.0,1,1,1,42.4094,2.41
18701,1213297.0,6166201.0,1,1,1,42.4133,9.2328
6040,615337.0,6146732.0,1,1,1,42.4156,1.973
18744,1224874.0,6167987.0,1,1,0,42.421,9.3745
6182,620238.0,6147460.0,1,1,1,42.4227,2.0323
18808,1236506.0,6170257.0,1,1,1,42.4328,9.5174
6167,619786.0,6149211.0,1,1,1,42.4383,2.0266
10990,714353.0,6149009.0,1,1,1,42.4408,3.1742
9467,668107.0,6149111.0,1,1,1,42.4412,2.613
18809,1236722.0,6171597.0,1,1,1,42.4447,9.5213
5888,608676.0,6151394.0,1,1,1,42.4567,1.8914
10944,712540.0,6151923.0,1,1,1,42.4671,3.1523
10826,709695.0,6152775.0,1,1,0,42.4748,3.1177
18789,1228799.0,6174349.0,1,1,1,42.4752,9.4282
10100,688952.0,6152987.0,1,1,1,42.4767,2.8658
10916,711572.0,6153204.0,1,1,1,42.4786,3.1405
9640,673122.0,6153282.0,1,1,1,42.4789,2.6736
7058,643504.0,6153750.0,1,1,0,42.4814,2.3139
9565,670676.0,6153570.0,1,1,1,42.4814,2.6439
18724,1220063.0,6174367.0,1,1,1,42.4817,9.3225
10307,695692.0,6153611.0,1,1,1,42.4823,2.9477
9914,682316.0,6153645.0,1,1,1,42.4824,2.7852
9804,678584.0,6153742.0,1,1,1,42.4832,2.7399
6368,626917.0,6154261.0,1,1,0,42.4845,2.1124
18747,1225956.0,6175530.0,1,1,0,42.4878,9.395
6388,627525.0,6154866.0,1,1,1,42.49,2.1197
9840,679589.0,6154503.0,1,1,1,42.4901,2.7521
10680,706129.0,6154527.0,1,1,1,42.4906,3.0744
10032,686441.0,6154688.0,1,1,1,42.4919,2.8353
18795,1230377.0,6176432.0,1,1,1,42.4927,9.4494
18707,1214970.0,6175510.0,1,1,0,42.4955,9.2619
18756,1227062.0,6177086.0,1,1,1,42.501,9.4099
7574,648376.0,6156707.0,1,1,0,42.5083,2.3728
18589,1166552.0,6173692.0,1,0,0,42.5121,8.6737
18631,1180004.0,6174693.0,1,1,0,42.5123,8.8376
6589,633286.0,6157419.0,1,1,1,42.5135,2.1894
10799,708889.0,6157223.0,1,1,1,42.5148,3.108
18666,1193936.0,6176174.0,1,1,0,42.5162,9.0078
10296,695430.0,6157921.0,1,1,1,42.5211,2.9445
5745,602608.0,6158777.0,1,1,1,42.5222,1.8164
18792,1229428.0,6179686.0,1,1,1,42.5225,9.4411
10699,706523.0,6158207.0,1,1,1,42.5236,3.0793
6239,622163.0,6158914.0,1,1,1,42.5258,2.054
9992,685122.0,6158573.0,1,1,1,42.5268,2.8192
10265,694012.0,6159131.0,1,1,1,42.5319,2.9272
6148,619009.0,6159996.0,1,1,1,42.5352,2.0155
9484,668552.0,6159753.0,1,1,0,42.5369,2.6177
18715,1217333.0,6180438.0,1,1,1,42.538,9.2953
10574,703930.0,6159870.0,1,1,1,42.5386,3.0478
10373,697719.0,6159935.0,1,1,1,42.5392,2.9723
18601,1174216.0,6177438.0,1,1,1,42.5407,8.7699
18692,1208529.0,6180056.0,1,1,1,42.5408,9.1883
18800,1232325.0,6182059.0,1,1,1,42.5417,9.4786
10505,702147.0,6160333.0,1,1,1,42.5428,3.0261
5597,596057.0,6161350.0,1,1,1,42.5444,1.7363
18651,1186433.0,6178814.0,1,1,0,42.5449,8.9193
6836,639297.0,6161358.0,1,1,1,42.5494,2.2619
9778,677541.0,6161114.0,1,1,1,42.5494,2.7269
9264,663877.0,6161266.0,1,1,0,42.5503,2.5608
5768,603296.0,6162010.0,1,1,1,42.5514,1.8242
9628,672705.0,6161351.0,1,1,0,42.5514,2.6681
10567,703807.0,6161306.0,1,1,1,42.5515,3.0463
18771,1228154.0,6183170.0,1,1,1,42.5547,9.4291
10572,703863.0,6161770.0,1,1,1,42.5557,3.047
10461,700754.0,6162076.0,1,1,0,42.5584,3.0092
10553,703364.0,6162184.0,0,1,0,42.5594,3.0409
18596,1172353.0,6179844.0,1,1,1,42.5635,8.7495
5678,599870.0,6163477.0,1,1,1,42.5641,1.7822
18641,1182241.0,6180831.0,1,1,1,42.5658,8.8703
10106,689173.0,6162937.0,1,1,1,42.5661,2.8683
18597,1173031.0,6180373.0,1,1,1,42.5678,8.7582
10558,703485.0,6163171.0,1,1,1,42.5683,3.0424
6248,622443.0,6163980.0,1,1,1,42.5714,2.0567
7321,646331.0,6163892.0,1,1,1,42.5728,2.3472
9477,668362.0,6163936.0,1,1,0,42.5745,2.6152
10551,703342.0,6163896.0,1,1,0,42.5748,3.0407
10503,702103.0,6163907.0,1,1,1,42.5749,3.0256
10362,697357.0,6163932.0,1,1,0,42.5751,2.9679
9780,677663.0,6163983.0,1,1,0,42.5752,2.7283
10232,692694.0,6163952.0,1,1,1,42.5753,2.9111
6557,632451.0,6164362.0,1,1,0,42.5758,2.1783
18726,1220385.0,6184901.0,1,1,1,42.5758,9.3367
5701,600661.0,6164895.0,1,0,0,42.5769,1.7916
8445,653513.0,6164521.0,1,1,0,42.5789,2.4345
18683,1203107.0,6184280.0,1,1,0,42.5825,9.1265
18667,1194506.0,6183814.0,1,1,1,42.5843,9.0218
10058,687493.0,6164992.0,1,1,1,42.5845,2.8478
18625,1178387.0,6182768.0,1,1,1,42.5858,8.8253
18671,1195964.0,6184669.0,1,1,1,42.5909,9.0403
5721,601780.0,6166537.0,1,1,0,42.5919,1.8049
10350,696999.0,6165956.0,1,1,1,42.5933,2.9635
18761,1227467.0,6187590.0,1,1,1,42.5948,9.4252
10204,691881.0,6166493.0,1,1,1,42.5981,2.9012
18649,1185776.0,6184741.0,1,1,1,42.5985,8.9167
7468,647589.0,6166848.0,1,1,1,42.5994,2.3622
10369,697624.0,6167027.0,1,1,1,42.6029,2.9711
8900,657316.0,6167333.0,1,1,0,42.6044,2.4805
10529,702775.0,6167459.0,1,1,1,42.6068,3.0338
10067,687789.0,6167499.0,1,1,1,42.6071,2.8514
9954,683813.0,6167667.0,1,1,1,42.6085,2.803
8355,652917.0,6168166.0,1,1,1,42.6117,2.4269
6338,625648.0,6168445.0,1,1,1,42.6119,2.095
5738,602450.0,6168810.0,1,0,0,42.6124,1.8126
7412,647219.0,6168443.0,1,1,0,42.6137,2.3576
