,x,y,2G,3G,4G,latitude,longitude
21257,1176879.0,6120482.0,1,1,1,42.0285,8.7518
21290,1189374.0,6126290.0,1,1,1,42.0722,8.9072
21289,1189237.0,6126463.0,1,1,0,42.0739,8.9057
21311,1201079.0,6128605.0,1,1,1,42.085,9.0501
21444,1239000.0,6132827.0,1,1,1,42.0957,9.5101
21439,1235869.0,6133651.0,1,1,1,42.1054,9.4733
21317,1206212.0,6131714.0,1,1,1,42.1093,9.1147
21226,1169978.0,6129897.0,1,1,1,42.1173,8.677
21336,1214068.0,6133394.0,1,1,0,42.1189,9.2108
21280,1185507.0,6132023.0,1,1,0,42.1262,8.8658
21218,1162716.0,6131220.0,1,1,1,42.1338,8.5907
21325,1208624.0,6137035.0,1,1,0,42.1553,9.1487
21219,1162924.0,6134529.0,1,1,1,42.1634,8.5961
21292,1191210.0,6136875.0,1,1,0,42.1658,8.9389
21373,1224411.0,6139802.0,1,1,1,42.1689,9.3415
21263,1179066.0,6137304.0,1,1,1,42.1778,8.793
21446,1239640.0,6143236.0,1,1,1,42.1885,9.5282
21447,1239886.0,6146257.0,1,1,1,42.2154,9.5342
21382,1226258.0,6145330.0,1,1,1,42.2171,9.3691
21222,1166299.0,6140777.0,1,1,0,42.2172,8.6421
21271,1181433.0,6142810.0,1,1,0,42.2256,8.8264
21331,1211458.0,6146259.0,1,1,1,42.2359,9.1916
21220,1164383.0,6142877.0,1,1,1,42.2373,8.6208
21339,1214361.0,6146813.0,1,1,1,42.2389,9.2271
21224,1168112.0,6145120.0,1,1,1,42.255,8.6677
21328,1210078.0,6148353.0,1,1,1,42.2557,9.1769
21238,1174445.0,6145919.0,1,1,1,42.258,8.7449
21227,1170331.0,6146779.0,1,1,1,42.2684,8.696
21440,1235955.0,6152411.0,1,1,1,42.2734,9.4929
21448,1240575.0,6154000.0,1,1,1,42.2842,9.5502
21281,1185535.0,6149774.0,1,1,1,42.2852,8.8821
21326,1209009.0,6153336.0,1,1,1,42.3011,9.1687
21320,1207327.0,6153763.0,1,1,1,42.3061,9.1488
21303,1196357.0,6153137.0,1,1,1,42.3081,9.0158
21319,1206906.0,6154459.0,1,1,1,42.3126,9.1444
21389,1227227.0,6157293.0,1,1,0,42.3235,9.3924
21221,1164680.0,6152874.0,1,1,1,42.3267,8.633
21322,1207941.0,6156398.0,1,1,1,42.3293,9.1587
21437,1235397.0,6159143.0,1,1,1,42.3341,9.4929
21445,1239209.0,6160178.0,1,1,1,42.3405,9.54
21438,1235615.0,6160469.0,1,1,1,42.3458,9.4969
21381,1226195.0,6160137.0,1,1,1,42.3497,9.3828
9454,655469.0,6140572.0,1,1,1,42.3638,2.4603
21436,1233910.0,6162876.0,1,1,1,42.3686,9.4787
21248,1176213.0,6158844.0,1,1,0,42.3727,8.7776
21353,1218958.0,6162127.0,1,1,0,42.3728,9.2973
21329,1210309.0,6161581.0,1,1,1,42.374,9.1922
21443,1238051.0,6163854.0,1,1,1,42.3743,9.5297
21435,1233840.0,6164171.0,1,1,1,42.3803,9.4791
6526,620528.0,6143470.0,1,1,0,42.3868,2.0364
10349,667731.0,6143665.0,1,1,1,42.3922,2.6087
9866,659892.0,6143841.0,1,1,1,42.3934,2.5137
21228,1171847.0,6162588.0,1,1,0,42.4091,8.7281
8691,651357.0,6145681.0,1,1,1,42.4094,2.41
21334,1213297.0,6166201.0,1,1,1,42.4133,9.2328
6346,615317.0,6146808.0,1,1,1,42.4162,1.9727
6387,616571.0,6146867.0,0,1,0,42.4169,1.9879
21376,1224874.0,6167987.0,1,1,0,42.421,9.3745
6514,620238.0,6147460.0,1,1,1,42.4227,2.0323
21441,1236495.0,6170283.0,1,1,1,42.4331,9.5173
6495,619786.0,6149211.0,1,1,1,42.4383,2.0266
12099,714352.0,6148896.0,1,1,1,42.4398,3.1742
10370,668107.0,6149106.0,1,1,1,42.4411,2.613
21442,1236703.0,6171607.0,1,1,1,42.4448,9.5211
11987,711269.0,6150516.0,1,1,0,42.4544,3.1368
6189,608676.0,6151394.0,1,1,1,42.4567,1.8914
12042,712520.0,6151958.0,1,1,1,42.4674,3.152
21422,1228836.0,6174299.0,1,1,1,42.4747,9.4286
11064,688936.0,6153006.0,1,1,1,42.4768,2.8656
11999,711461.0,6153185.0,1,1,0,42.4784,3.1392
10568,673116.0,6153269.0,1,1,1,42.4788,2.6735
7473,643504.0,6153750.0,1,1,0,42.4814,2.3139
10480,670671.0,6153586.0,1,1,1,42.4815,2.6438
