cluster,x,y,2G,3G,4G,latitude,longitude
404,169647.0,6803844.0,1,1,1,48.1191,-4.137
404,169990.0,6821085.0,1,1,1,48.2739,-4.1533
435,170270.0,6859678.0,1,1,1,48.6199,-4.1969
404,170434.0,6790017.0,1,1,1,47.9958,-4.1097
404,170783.0,6788421.0,1,1,1,47.9818,-4.1031
404,170852.0,6789624.0,1,1,1,47.9926,-4.1037
435,171274.0,6851221.0,1,1,0,48.5449,-4.173
404,171311.0,6791312.0,1,1,1,48.0081,-4.0996
404,171390.0,6787545.0,1,1,1,47.9744,-4.094
435,171404.0,6864240.0,1,1,1,48.6617,-4.1872
404,171405.0,6812711.0,1,1,1,48.2,-4.1242
404,171456.0,6788885.0,1,1,1,47.9865,-4.0947
405,171796.0,6782037.0,1,1,1,47.9254,-4.082
404,171957.0,6788991.0,1,1,1,47.9879,-4.0882
405,172654.0,6787476.0,1,1,1,47.9748,-4.077
405,172709.0,6787789.0,1,0,0,47.9777,-4.0767
405,172752.0,6789975.0,1,1,1,47.9973,-4.0787
404,172985.0,6818736.0,1,1,1,48.2553,-4.1103
405,173060.0,6788213.0,1,1,1,47.9818,-4.0725
405,173241.0,6794609.0,1,1,1,48.0393,-4.0778
405,173396.0,6780325.0,1,1,1,47.9113,-4.0586
435,173583.0,6863576.0,1,1,1,48.6575,-4.1569
435,173795.0,6846192.0,1,1,0,48.5019,-4.1328
435,174875.0,6855144.0,1,1,1,48.583,-4.1292
405,175043.0,6790725.0,1,1,1,48.0059,-4.049
405,175594.0,6813345.0,1,1,1,48.2091,-4.0688
405,175721.0,6777789.0,1,1,1,47.8905,-4.0246
435,175866.0,6857013.0,1,1,1,48.6006,-4.1181
405,176097.0,6788098.0,1,1,1,47.9832,-4.0318
436,176344.0,6834515.0,1,1,0,48.3994,-4.0843
405,176539.0,6783398.0,1,1,1,47.9414,-4.0203
374,176659.0,6774723.0,1,1,1,47.8637,-4.0084
405,176694.0,6788187.0,1,0,0,47.9845,-4.0239
405,177349.0,6790966.0,1,1,1,48.0099,-4.0185
436,177454.0,6847542.0,1,0,0,48.517,-4.0851
435,177562.0,6864642.0,1,1,1,48.6703,-4.1044
436,177676.0,6847597.0,1,1,1,48.5177,-4.0822
405,177748.0,6800836.0,1,1,1,48.0987,-4.0249
405,178036.0,6806900.0,1,1,1,48.1533,-4.0283
436,178149.0,6837179.0,1,1,1,48.4247,-4.0632
405,178513.0,6787909.0,1,1,1,47.9834,-3.9993
405,178533.0,6786620.0,1,1,1,47.9719,-3.9975
405,178735.0,6779796.0,1,1,1,47.9109,-3.9868
436,178874.0,6844708.0,1,1,1,48.4927,-4.0625
405,179013.0,6799476.0,1,1,1,48.0875,-4.0064
436,179474.0,6862862.0,1,1,1,48.6559,-4.0764
436,179688.0,6852167.0,1,1,1,48.5602,-4.0606
405,180320.0,6800646.0,1,0,0,48.099,-3.9903
436,180679.0,6854037.0,1,1,1,48.5778,-4.0494
405,181437.0,6828138.0,1,1,0,48.3463,-4.0081
436,181495.0,6845657.0,1,1,1,48.5033,-4.0283
405,182298.0,6785220.0,1,1,1,47.9623,-3.9456
405,183175.0,6780537.0,1,1,1,47.921,-3.9284
405,183615.0,6776146.0,1,1,1,47.882,-3.9174
436,183687.0,6859845.0,1,1,1,48.6322,-4.0158
405,183910.0,6821859.0,1,1,1,48.292,-3.9674
436,183986.0,6872438.0,1,0,0,48.7453,-4.027
405,184102.0,6814551.0,1,1,1,48.2267,-3.9561
436,184319.0,6866910.0,1,1,1,48.696,-4.0158
405,184626.0,6777575.0,1,1,1,47.8956,-3.9056
405,185177.0,6787001.0,1,1,1,47.9806,-3.9093
436,185496.0,6859785.0,1,1,1,48.6331,-3.9913
374,186317.0,6775385.0,1,1,1,47.8773,-3.8805
405,186537.0,6803924.0,1,1,1,48.1333,-3.911
436,186556.0,6868578.0,1,1,1,48.7127,-3.9875
436,186563.0,6863677.0,1,1,1,48.6688,-3.9815
405,187744.0,6787954.0,1,1,1,47.9911,-3.8761
436,187966.0,6869467.0,1,1,1,48.7218,-3.9695
405,188219.0,6783264.0,1,1,1,47.9494,-3.8643
436,188431.0,6847523.0,1,1,1,48.5256,-3.937
405,188653.0,6778129.0,1,1,1,47.9037,-3.8526
374,188967.0,6767639.0,1,1,1,47.8099,-3.8362
374,189922.0,6772796.0,1,1,1,47.8569,-3.8295
405,190405.0,6785385.0,1,1,1,47.9702,-3.8376
436,190843.0,6834786.0,1,1,1,48.4133,-3.8894
436,191456.0,6862227.0,1,1,1,48.6597,-3.9136
436,192193.0,6857045.0,1,1,0,48.6139,-3.8975
436,192351.0,6845441.0,1,1,1,48.51,-3.8817
405,192410.0,6796152.0,1,1,1,48.0682,-3.8233
436,192543.0,6850040.0,1,1,0,48.5514,-3.8845
405,192564.0,6776567.0,1,1,1,47.8928,-3.7986
405,194062.0,6810814.0,1,1,1,48.201,-3.8182
436,194315.0,6857564.0,1,1,0,48.6202,-3.8694
405,194375.0,6815878.0,1,1,1,48.2466,-3.8198
374,194781.0,6766583.0,1,1,1,47.805,-3.7576
405,194932.0,6784120.0,1,1,1,47.9623,-3.7757
436,195109.0,6852253.0,1,1,1,48.5732,-3.8525
405,195160.0,6808813.0,1,1,1,48.1839,-3.8011
436,195179.0,6850943.0,1,1,1,48.5615,-3.85
374,196110.0,6772483.0,1,1,1,47.8589,-3.7467
436,196679.0,6851696.0,1,0,0,48.5694,-3.8306
436,196688.0,6852720.0,1,1,0,48.5786,-3.8317
